./gridbenchmark --no-verify --size 256x256x64 --threads 1x1x1 32x1x1 64x1x1 128x1x1 192x1x1 256x1x1 320x1x1 384x1x1 448x1x1 512x1x1 32x1x16 8x1x64 all 
Benchmark                   , Domain size,,, Blocks     ,,, Threads    ,,, Total execution time         ,,, Kernel-only execution time     
                            ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-unstr-idxvar          , 256, 256,  64,   8, 256,   1,  32,   1,   1,  0.001923,  0.001912,  0.001949,  0.001923,  0.001912,  0.001949
hdiff-unstr-idxvar          , 256, 256,  64,   4, 256,   1,  64,   1,   1,  0.002525,  0.002521,  0.002528,  0.002525,  0.002521,  0.002528
hdiff-unstr-idxvar          , 256, 256,  64,   2, 256,   1, 128,   1,   1,  0.002425,  0.002420,  0.002430,  0.002424,  0.002420,  0.002430
hdiff-unstr-idxvar          , 256, 256,  64,   2, 256,   1, 192,   1,   1,  0.002533,  0.002421,  0.002646,  0.002533,  0.002421,  0.002646
hdiff-unstr-idxvar          , 256, 256,  64,   1, 256,   1, 256,   1,   1,  0.002779,  0.002625,  0.002801,  0.002778,  0.002625,  0.002801
hdiff-unstr-idxvar          , 256, 256,  64,   1, 256,   1, 320,   1,   1,  0.002377,  0.002374,  0.002380,  0.002377,  0.002374,  0.002380
hdiff-unstr-idxvar          , 256, 256,  64,   1, 256,   1, 384,   1,   1,  0.002751,  0.002588,  0.002772,  0.002751,  0.002588,  0.002772
hdiff-unstr-idxvar          , 256, 256,  64,   1, 256,   1, 448,   1,   1,  0.002391,  0.002388,  0.002394,  0.002390,  0.002388,  0.002394
hdiff-unstr-idxvar          , 256, 256,  64,   1, 256,   1, 512,   1,   1,  0.002407,  0.002395,  0.002560,  0.002407,  0.002395,  0.002560
hdiff-unstr-seq             , 256, 256,  64, 256, 256,  64,   1,   1,   1,  0.060945,  0.060486,  0.063815,  0.060944,  0.060486,  0.063815
hdiff-unstr-seq             , 256, 256,  64,   8, 256,  64,  32,   1,   1,  0.006415,  0.006366,  0.006624,  0.006414,  0.006366,  0.006624
hdiff-unstr-seq             , 256, 256,  64,   4, 256,  64,  64,   1,   1,  0.006546,  0.006353,  0.009913,  0.006545,  0.006353,  0.009913
hdiff-unstr-seq             , 256, 256,  64,   2, 256,  64, 128,   1,   1,  0.006344,  0.006333,  0.006358,  0.006344,  0.006333,  0.006358
hdiff-unstr-seq             , 256, 256,  64,   2, 256,  64, 192,   1,   1,  0.006285,  0.006275,  0.006311,  0.006285,  0.006275,  0.006311
hdiff-unstr-seq             , 256, 256,  64,   1, 256,  64, 256,   1,   1,  0.006353,  0.006332,  0.006383,  0.006352,  0.006332,  0.006383
hdiff-unstr-seq             , 256, 256,  64,   1, 256,  64, 320,   1,   1,  0.006303,  0.006287,  0.006321,  0.006302,  0.006287,  0.006321
hdiff-unstr-seq             , 256, 256,  64,   1, 256,  64, 384,   1,   1,  0.006451,  0.006258,  0.010017,  0.006451,  0.006258,  0.010017
hdiff-unstr-seq             , 256, 256,  64,   1, 256,  64, 448,   1,   1,  0.006226,  0.006214,  0.006239,  0.006226,  0.006214,  0.006239
hdiff-unstr-seq             , 256, 256,  64,   1, 256,  64, 512,   1,   1,  0.006226,  0.006212,  0.006253,  0.006225,  0.006212,  0.006253
hdiff-unstr-seq             , 256, 256,  64,   8, 256,   4,  32,   1,  16,  0.003687,  0.003592,  0.005035,  0.003686,  0.003592,  0.005035
hdiff-unstr-seq             , 256, 256,  64,  32, 256,   1,   8,   1,  64,  0.003886,  0.003868,  0.003918,  0.003886,  0.003868,  0.003918
