Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-regular-kloop      ,   2, 256,   1, 128,   1,   1,  0.857210,  0.845222,  0.876973,  0.136977,  0.134530,  0.876973
hdiff-regular-kloop      ,   2, 256,   1, 160,   1,   1,  0.848939,  0.839013,  0.863890,  0.129543,  0.129158,  0.863890
hdiff-regular-kloop      ,   2, 256,   1, 192,   1,   1,  0.849778,  0.839234,  0.868492,  0.128957,  0.124811,  0.868492
hdiff-regular-kloop      ,   2, 256,   1, 224,   1,   1,  0.849260,  0.839173,  0.866038,  0.132026,  0.130898,  0.866038
hdiff-regular-kloop      ,   1, 256,   1, 256,   1,   1,  0.865313,  0.850726,  0.876250,  0.143975,  0.144409,  0.876250
hdiff-regular-kloop      ,   1, 256,   1, 288,   1,   1,  0.861800,  0.848656,  0.879751,  0.144259,  0.144677,  0.879751
hdiff-regular-kloop      ,   1, 256,   1, 320,   1,   1,  0.866027,  0.857480,  0.884060,  0.143495,  0.144517,  0.884060
hdiff-regular-kloop      ,   1, 256,   1, 352,   1,   1,  0.849693,  0.836779,  0.870377,  0.128823,  0.127229,  0.870377
hdiff-regular-kloop      ,   1, 256,   1, 384,   1,   1,  0.846253,  0.833836,  0.886893,  0.129725,  0.129958,  0.886893
hdiff-regular-kloop      ,   1, 256,   1, 416,   1,   1,  0.849592,  0.835301,  0.869231,  0.128075,  0.126198,  0.869231
hdiff-regular-kloop      ,   1, 256,   1, 448,   1,   1,  0.861993,  0.848329,  0.877736,  0.133091,  0.130057,  0.877736
hdiff-regular-kloop      ,   1, 256,   1, 480,   1,   1,  0.848084,  0.839137,  0.867893,  0.131713,  0.130746,  0.867893
hdiff-regular-kloop      ,   1, 256,   1, 512,   1,   1,  0.850738,  0.838806,  0.858532,  0.130624,  0.129807,  0.858532
