,stencil,precision,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
161,laplap,single,idxvar,True,False,True,False,512,512,7,8,508,1,448,64,1,7,60364.0,60214.0,58073.0,61870.0
162,laplap,single,idxvar,True,False,True,True,512,512,7,8,508,1,448,64,1,7,53254.0,53196.0,51354.0,55365.0
163,laplap,single,idxvar,True,True,True,False,512,512,7,8,508,1,448,64,1,7,61568.0,62081.0,60494.0,74312.0
164,laplap,single,idxvar,True,True,True,True,512,512,7,8,508,1,448,64,1,7,57535.0,57716.0,56393.0,60870.0
165,laplap,single,idxvar-shared,True,False,False,False,512,512,7,8,508,1,448,64,1,7,60413.0,60446.0,59296.0,61898.0
166,laplap,single,idxvar-kloop,True,False,False,False,512,512,7,8,508,1,64,64,1,1,55483.0,55481.0,54312.0,56840.0
167,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,7,8,508,1,448,64,1,7,91267.0,91052.0,87319.0,93939.0
168,laplap,single,naive,True,False,False,False,512,512,7,8,508,1,448,64,1,7,76939.0,77004.0,76105.0,78454.0
169,laplap,double,idxvar,False,False,False,False,512,512,7,8,508,1,448,64,1,7,62978.0,62739.0,59676.0,64999.0
170,laplap,double,idxvar,True,False,False,False,512,512,7,8,508,1,448,64,1,7,84324.0,83688.0,77777.0,87606.0
171,laplap,double,idxvar,True,True,False,False,512,512,7,8,508,1,448,64,1,7,81802.0,81526.0,74477.0,84556.0
172,laplap,double,idxvar,True,False,False,True,512,512,7,8,508,1,448,64,1,7,92626.0,92371.0,84348.0,95902.0
173,laplap,double,idxvar,True,True,False,True,512,512,7,8,508,1,448,64,1,7,93451.0,92663.0,86989.0,95163.0
174,laplap,double,idxvar,True,False,True,False,512,512,7,8,508,1,448,64,1,7,83386.0,82850.0,76949.0,87297.0
175,laplap,double,idxvar,True,False,True,True,512,512,7,8,508,1,448,64,1,7,79977.0,79617.0,75617.0,82615.0
176,laplap,double,idxvar,True,True,True,False,512,512,7,8,508,1,448,64,1,7,85281.0,85073.0,81265.0,90361.0
177,laplap,double,idxvar,True,True,True,True,512,512,7,8,508,1,448,64,1,7,85248.0,84957.0,81720.0,87401.0
178,laplap,double,idxvar-shared,True,False,False,False,512,512,7,8,508,1,448,64,1,7,85960.0,85139.0,79193.0,87813.0
179,laplap,double,idxvar-kloop,True,False,False,False,512,512,7,8,508,1,64,64,1,1,82696.0,81763.0,75155.0,86406.0
